METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ
"DEbest","ackley",5,4,160,4,10.169736
"DEbest","ackley",5,4,180,5,10.169736
"DEbest","ackley",5,4,200,6,10.169736
"DEbest","ackley",5,4,220,7,10.169736
"DEbest","ackley",5,4,240,8,8.297992
"DEbest","ackley",5,4,260,9,8.297992
"DEbest","ackley",5,4,280,10,8.080700
"DEbest","ackley",5,4,300,11,6.642051
"DEbest","ackley",5,4,320,12,6.642051
"DEbest","ackley",5,4,340,13,5.677801
"DEbest","ackley",5,4,360,14,5.677801
"DEbest","ackley",5,4,380,15,5.426910
"DEbest","ackley",5,4,400,16,4.172345
"DEbest","ackley",5,4,420,17,4.172345
"DEbest","ackley",5,4,440,18,4.172345
"DEbest","ackley",5,4,460,19,3.363568
"DEbest","ackley",5,4,480,20,3.363568
"DEbest","ackley",5,4,500,21,2.849443
"DEbest","ackley",5,4,520,22,2.786607
"DEbest","ackley",5,4,540,23,2.104432
"DEbest","ackley",5,4,560,24,2.104432
"DEbest","ackley",5,4,580,25,2.039483
"DEbest","ackley",5,4,600,26,0.689030
"DEbest","ackley",5,4,620,27,0.689030
"DEbest","ackley",5,4,640,28,0.689030
"DEbest","ackley",5,4,660,29,0.689030
"DEbest","ackley",5,4,680,30,0.326317
"DEbest","ackley",5,4,700,31,0.326317
"DEbest","ackley",5,4,720,32,0.245278
"DEbest","ackley",5,4,740,33,0.245278
"DEbest","ackley",5,4,760,34,0.245278
"DEbest","ackley",5,4,780,35,0.245278
"DEbest","ackley",5,4,800,36,0.207600
"DEbest","ackley",5,4,820,37,0.081486
"DEbest","ackley",5,4,840,38,0.081486
"DEbest","ackley",5,4,860,39,0.081486
"DEbest","ackley",5,4,880,40,0.062794
"DEbest","ackley",5,4,900,41,0.062794
"DEbest","ackley",5,4,920,42,0.057594
"DEbest","ackley",5,4,940,43,0.045871
"DEbest","ackley",5,4,960,44,0.034572
"DEbest","ackley",5,4,980,45,0.026853
"DEbest","ackley",5,4,1000,46,0.024170
